16,"Bianco and Rosso","","Central",22.2800,114.1588,"Italian","$$$","","",""
17,"Big Boil's Club","Multiple","Multiple locations",0,0,"Hot Pot","$$","","",""
18,"Big Boils Club","North Point","North Point",22.2910,114.1951,"Hot Pot","$$","","",""
19,"Bino N' Booze","","Sham Shui Po",22.3286,114.1627,"Bar, International","$$","","",""
20,"Bistro on the Mile","Holiday Inn Golden Mile","Tsim Sha Tsui",22.2988,114.1722,"International","$$","","",""
21,"BLA BLA by sensory ZERO","Multiple","Multiple locations",0,0,"Cafe","$$","","",""
22,"Blue Bottle Coffee","Multiple","Multiple locations",0,0,"Cafe","$$","","",""
23,"Bombay Dreams","","Central",22.2800,114.1588,"Indian","$$$","","",""
24,"Boticario","","Tsim Sha Tsui",22.2988,114.1722,"Bar, International","$$","","",""
25,"Bouchon Bistro Francais","","Central",22.2800,114.1588,"French","$$$","","",""
26,"Braza Churrascaria","","Central",22.2800,114.1588,"Brazilian","$$$","","",""
27,"Brotzeit German Bier Bar & Restaurant","","Tsuen Wan",22.3736,114.1175,"German","$$","","",""
28,"Cabana Breeze Bar & Grill","","Tung Chung",22.2891,113.9413,"International","$$","","",""
29,"Cafe 8 Degrees","Harbour Plaza 8 Degrees","To Kwa Wan",22.3235,114.1891,"International","$$","","",""
30,"Cafe Allegro","Regal Kowloon Hotel","Tsim Sha Tsui",22.2988,114.1722,"International","$$","","",""
31,"Café Circles","Nina Hotel Tsuen Wan West","Tsuen Wan",22.3736,114.1175,"International","$$","","",""
32,"Cafe Deco Pizzeria","","Tsim Sha Tsui",22.2988,114.1722,"Italian","$$","","",""
33,"Cafe Rivoli","Regal Hong Kong Hotel","Causeway Bay",22.2800,114.1850,"International","$$","","",""
34,"Cha Fan","","Tsuen Wan",22.3736,114.1175,"Chinese","$","","",""
35,"Cha Fan Go","Multiple","Multiple locations",0,0,"Chinese","$","","",""
36,"Champ Kitchen","","Tsim Sha Tsui",22.2988,114.1722,"International","$$","","",""
37,"Chart Coffee","","Central",22.2800,114.1588,"Cafe","$$","","",""
38,"Chef's Market","","Central",22.2800,114.1588,"International","$$","","",""
39,"Chillax","","Causeway Bay",22.2800,114.1850,"Cafe","$$","","",""
40,"Chinesology","","Central",22.2800,114.1588,"Chinese","$$$","","",""
41,"Cielo","Crowne Plaza Hong Kong Kowloon East","Tseung Kwan O",22.3075,114.2625,"Italian","$$$","","",""
42,"Cinnabon","Multiple","Multiple locations",0,0,"Bakery","$","","",""
43,"Classified","Multiple","Multiple locations",0,0,"Cafe, International","$$","","",""
44,"Coucou Hot Pot‧Tea Break","Multiple","Multiple locations",0,0,"Hot Pot","$$","","",""
45,"Crêpe Delicious","Multiple","Multiple locations",0,0,"French","$$","","",""
46,"Cupping Room","Multiple","Multiple locations",0,0,"Cafe","$$","","",""
47,"Dab-pa","Multiple","Multiple locations",0,0,"Chinese","$$","","",""
48,"Dada Bar + Lounge","","Tsim Sha Tsui",22.2988,114.1722,"Bar, International","$$","","",""
49,"Das Bier","Multiple","Multiple locations",0,0,"German","$$","","",""
50,"Dazzling Café","","Tsim Sha Tsui",22.2988,114.1722,"Cafe, Taiwanese","$$","","",""
51,"ÔDELICE","Multiple","Multiple locations",0,0,"French","$$","","",""
52,"Dim Sum Bar","","Tsuen Wan",22.3736,114.1175,"Chinese, Dim Sum","$$","","",""
53,"dolos","","Central",22.2800,114.1588,"International","$$$","","",""
54,"Domain","","Quarry Bay",22.2873,114.2107,"International","$$","","",""
55,"Dragon Inn","","Sha Tin",22.3786,114.1963,"Chinese","$$","","",""
56,"Dragonfly","","Central",22.2800,114.1588,"Bar, International","$$","","",""
57,"Ducklicious","","Tsuen Wan",22.3736,114.1175,"Chinese","$$","","",""
58,"Ebisoba Ichigen","Multiple","Multiple locations",0,0,"Japanese, Ramen","$$","","",""
59,"Enchanté","","Tsim Sha Tsui",22.2988,114.1722,"French","$$$","","",""
60,"FEAST (Food by EAST)","","Quarry Bay",22.2873,114.2107,"International","$$$","","",""
61,"Feuille","","Central",22.2800,114.1588,"French","$$","","",""
62,"FINDS","","Tsim Sha Tsui",22.2988,114.1722,"Nordic","$$$","","",""
63,"FireBird","Multiple","Multiple locations",0,0,"Chinese","$$","","",""
64,"Fleuria Fleuriste & Café","","Admiralty",22.2783,114.1647,"Cafe","$$","","",""
65,"Flint","JW Marriott Hotel Hong Kong","Admiralty",22.2783,114.1647,"International","$$$","","",""
66,"Garden Cafe","Conrad Hong Kong","Admiralty",22.2783,114.1647,"International","$$$","","",""
67,"Giovanni Pina Ristorante, Bar & Pasticceria","","Central",22.2800,114.1588,"Italian","$$$","","",""
68,"GODIVA Chocolatier","Multiple","Multiple locations",0,0,"Chocolate, Cafe","$$$","","",""
69,"Golden Diamond Truffle","","Tsim Sha Tsui",22.2988,114.1722,"International","$$$","","",""
70,"Golden Leaf","Conrad Hong Kong","Admiralty",22.2783,114.1647,"Chinese, Cantonese","$$$","","",""
